gia_ban,loai_hinh,dien_tich_dat,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,dac_diem,chieu_ngang,duong_lon,vi_tri_dat,garage,san_vuon,hai_mat_tien,view,vi_tri_trung_tam,truong_hoc,san_bay,benh_vien,sieu_thi,giao_thong,giai_tri,dia_diem_dac_biet,phuong,gia_m2_tham_khao
7300000000.0,"Nhà ngõ, hẻm",54.0,Đã có sổ,3.0,3.0,2.0,Không rõ,Hẻm xe hơi,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Phường Thạnh Mỹ Tây,176330000.0
6190000000.0,"Nhà ngõ, hẻm",50.0,Đã có sổ,2.0,2.0,2.0,Hoàn thiện cơ bản,Hẻm xe hơi,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Bình Lợi Trung,135150000.0
7890000000.0,"Nhà ngõ, hẻm",56.0,Đã có sổ,2.0,2.0,2.0,Hoàn thiện cơ bản,Thông thường,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Bình Lợi Trung,158100000.0
7790000000.0,"Nhà ngõ, hẻm",78.0,Đã có sổ,2.0,2.0,2.0,Hoàn thiện cơ bản,Hẻm xe hơi,6.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Phường Bình Thạnh,147060000.0
5500000000.0,"Nhà ngõ, hẻm",44.0,Đã có sổ,2.0,2.0,2.0,Không rõ,Hẻm xe hơi,3.6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Phường Bình Thạnh,140000000.0
2750000000.0,"Nhà ngõ, hẻm",14.0,Đã có sổ,2.0,2.0,3.0,Nội thất đầy đủ,Thông thường,3.6,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Phường Bình Thạnh,145230000.0
5650000000.0,"Nhà ngõ, hẻm",32.0,Đã có sổ,2.0,3.0,3.0,Không rõ,Thông thường,4.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Phường Gia Định,119520000.0
4700000000.0,"Nhà ngõ, hẻm",24.0,Đã có sổ,2.0,3.0,3.0,Không rõ,Thông thường,4.0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,Phường Bình Lợi Trung,157600000.0
6500000000.0,"Nhà ngõ, hẻm",46.0,Chưa xác định,3.0,3.0,2.0,Không rõ,Thông thường,4.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Phường Bình Lợi Trung,132729999.99999999
5000000000.0,"Nhà ngõ, hẻm",35.0,Chưa xác định,5.0,3.0,3.0,Không rõ,Hẻm xe hơi,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Gia Định,107780000.0
5450000000.0,"Nhà ngõ, hẻm",38.7,Đã có sổ,2.0,2.0,2.0,Không rõ,Nhà nở hậu,3.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Phường Thạnh Mỹ Tây,94840000.0
10800000000.0,"Nhà ngõ, hẻm",105.0,Đã có sổ,6.0,5.0,4.0,Nội thất đầy đủ,Hẻm xe hơi,4.0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,Phường Bình Thạnh,147500000.0
11900000000.0,"Nhà ngõ, hẻm",90.0,Đã có sổ,3.0,3.0,2.0,Nội thất cao cấp,Hẻm xe hơi,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Bình Thạnh,171740000.0
6868000000.0,"Nhà ngõ, hẻm",35.5,Đã có sổ,5.0,3.0,3.0,Không rõ,Thông thường,3.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Phường Bình Lợi Trung,157600000.0
2750000000.0,"Nhà ngõ, hẻm",14.0,Đã có sổ,2.0,2.0,2.0,Nội thất đầy đủ,Thông thường,4.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Phường Bình Thạnh,140000000.0
4700000000.0,"Nhà ngõ, hẻm",53.0,Đã có sổ,3.0,2.0,2.0,Không rõ,Hẻm xe hơi,4.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,Phường Bình Lợi Trung,151410000.0
7500000000.0,"Nhà ngõ, hẻm",68.0,Đã có sổ,3.0,4.0,3.0,Nội thất đầy đủ,Thông thường,5.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,Phường Thạnh Mỹ Tây,210000000.0
9500000000.0,"Nhà ngõ, hẻm",80.0,Đã có sổ,3.0,4.0,3.0,Nội thất đầy đủ,Hẻm xe hơi,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Gia Định,170000000.0
9600000000.0,"Nhà ngõ, hẻm",60.0,Đã có sổ,3.0,4.0,4.0,Nội thất đầy đủ,Thông thường,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Phường Bình Thạnh,176920000.0
